Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Nelavoy Dhinakar,Male,,,10-Jun-1944,,,17-Oct-1994,10-Jun-2006,,,Madras High Court,Yes,Kerala High Court,30-Nov-1994,Madras High Court,5-Mar-1999,,,Yes,Jharkhand High Court,,,No,,Bar,No,Yes,No,No,Yes,No,No,No,No,No,No,,,B.A.,,,1968,,No,No,No
Vinod Kumar Gupta,Male,,,10-Sep-1947,,,7-Nov-1990,9-Sep-2009,No,No,Jammu and Kashmir High Court,Yes,Calcutta High Court,6-May-1996,Jharkhand High Court,15-Nov-2000,,,Yes,Jharkhand High Court,Himachal Pradesh High Court,Uttarakhand High Court,No,,Bar,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Uttar Pradesh and Jammu and Kashmir,,,Delhi University,,1970,Delhi Bar Council,No,No,No
Dhirubhai Naranbhai Patel,Male,,,13-Mar-1960,,,7-Mar-2004,12-Mar-2022,No,No,Gujarat High Court,Yes,Jharkhand High Court,3-Feb-2009,,,,,No,,,,No,,Bar,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,,"M.G. Science College, Ahmedabad",B.Sc.,"L.A. Shah Law College, Ahmedabad",1984,1984,,No,Yes,Yes
Pramath Patnaik,Male,,,14-Jun-1959,,,24-Sep-2014,13-Jun-2021,No,No,Orissa High Court,Yes,Jharkhand High Court,22-Dec-2014,,,,,No,,,,No,,Bar,No,Yes,No,No,Yes,No,No,No,No,No,No,"Government High School, Bhubaneswar and  B.J.B. College, Bhubaneswar","B.J.B. College, Bhubaneswar",,"University Law College, Utkal University, Bhubaneswar ",1986,1986,,No,Yes,No
Rakesh Ranjan Prasad,Male,,,1-Jul-1955,,,9-Feb-2006,30-Jun-2017,No,No,Jharkhand High Court,Yes,Manipur High Court,1-Feb-2016,,,,,Yes,Manipur High Court,,,No,,Service,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Bihar,,B.Sc.,"Patna Law College, Patna",,1980,Bihar State Bar Council,No,No,No
Pradipkumar Premshanker Bhatt,Male,,,6-Sep-1956,,,17-Feb-2011,5-Sep-2018,No,No,Gujarat High Court,Yes,Jharkhand High Court,27-Jun-2011,Gujarat High Court,,,,No,,,,No,,Service,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Gujarat,"H.K. Arts College, Ahmedabad",Political Science,"Sir L.A. Shah Law College, Ahmedabad",,1984,Gujarat Bar Council,No,No,No
Alok Singh,Male,,,28-Apr-1959,Uttarakhand,Roorkee,12-Oct-2009,27-Apr-2021,No,No,Uttarakhand High Court,Yes,Punjab and Haryana High Court,21-Dec-2009,Jharkhand High Court,13-Jun-2012,Uttarakhand High Court,26-Feb-2013,No,,,,No,,Bar,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Roorkee,"M.S. College, Saharanpur",B.Sc.,,,1982,,No,No,No
Permod Kohli,Male,,,1-Mar-1951,,,7-Jan-2003,1-Mar-2013,No,No,Jammu and Kashmir High Court,Yes,Jharkhand High Court,4-May-2006,Punjab and Haryana High Court,10-May-2007,,,Yes,Sikkim High Court,,,No,,Bar,No,Yes,No,No,No,Yes,No,No,No,No,No,,"GGM Science College, Jammu",B.Sc.,University of Jammu,1972,1972,Jammu Bar Council,No,No,No
Vishnudeo Narayan,Male,,,13-Aug-1943,,,28-Jan-2002,,,,Jharkhand High Court,,,,,,,,,,,,No,,Service,Yes,No,No,Yes,No,No,No,No,No,No,No,,"B.N.College, Patna",,Patna Law College,,,,No,Yes,No
Tapen Sen,Male,,,2-Sep-1953,,,28-Jan-2002,1-Sep-2015,No,No,Jharkhand High Court,Yes,Punjab and Haryana High Court,2-Dec-2004,Calcutta High Court,12-Jan-2006,,,No,,,,No,,Bar,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,"St. Xavier's School, Hazaribag ","St. Columba's College, Hazaribag",B.A.,"Chotanagpur Law College, Ranchi ",1979,1980,,No,No,No
Sushil Harkauli,Male,,,2-Aug-1951,,,5-Feb-1999,1-Aug-2013,No,No,Allahabad High Court,Yes,Jharkhand High Court,1-Jul-2009,Madhya Pradesh High Court,8-Apr-2011,Allahabad High Court,17-Oct-2012,No,,,,No,,Bar,No,Yes,No,No,Yes,No,No,No,No,Yes,No,,,B.A.,Allahabad University,,1976,,No,No,No
Amitav Kumar Gupta,Male,,,31-May-1959,,,18-Sep-2013,30-May-2021,No,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,No,No,No,No,No,No,No,"St. Xavier's School, Sahebganj","Hindu College, Delhi University",,"Campus Law Centre (Law Faculty), Delhi University",,1985,Bihar State Bar Council,No,Yes,No
Harish Chandra Mishra,Male,,,27-Mar-1959,,,27-Apr-2011,26-Mar-2021,No,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,No,No,No,No,No,No,No,"Patna High School and T.N.B. College, Bhagalpur","Co-operative College, Jamshedpur",B.Com,Patna Law College,1984,1984,,No,No,No
Bimlendu Bhushan Mangalmurti ,Male,,,1-Jun-1958,,,20-May-2017,,No,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,No,No,No,No,No,No,No,,,,,,1983,,,,
Anant Bijay Singh,Male,,,13-Jan-1959,,,8-Apr-2016,12-Jan-2021,No,Yes,Jharkhand High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,,,B.Sc.,,,1987,,No,No,No
Prashant Kumar,Male,,,1-Jul-1958,,,21-Jan-2009,30-Jun-2020,Yes,No,Jharkhand High Court,Yes,Allahabad High Court,19-May-2016,Jharkhand High Court,10-May-2019,,,No,,,,No,,Service,Yes,Yes,No,No,No,No,No,No,No,No,No,"Bisheshwar Seminary School,Chapra","Uday Pratap Singh Degree College, Varanasi",B.Sc.,"Harishchandra Law College, Varanasi",,1980,Bihar State Bar Council,No,No,No
Dhrub Narayan Upadhyay,Male,,,10-Aug-1954,Jharkhand,Jamshedpur,27-Apr-2011,9-Aug-2016,No,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,No,No,No,No,No,No,No,"R.D. TATA Higher secondary school, Jamshedpur",Co-operative College ,B.Com,Co-operative College ,,1979,,No,No,No
Narendra Nath Tiwari,Male,,,22-May-1952,,,28-Jun-2004,21-May-2014,No,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,,"G.L.A. College, Daltonganj",Economics Honours,"Chhotanagpur Law College, Ranchi",1975,1975,Bihar State Bar Council,No,Yes,No
Jaya Roy,Female,,,8-Aug-1951,,,30-Jul-2008,7-Aug-2013,No,No,Jharkhand High Court,,,,,,,,,,,,,,Bar,No,Yes,No,Yes,Yes,No,No,No,No,No,No,,,B.Sc.,Patna University,,1976,,No,No,No
Ramesh Kumar Merathia,Male,,,18-Aug-1950,,,18-Nov-2002,17-Aug-2012,No,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,No,Yes,No,No,No,No,No,No,"D.A.V. School, Jharia","R.S.P.College, Jharia ",B.Com.,"Chhotanagpur Law College, Ranchi",,1973,,No,No,No
Poonam Srivastava,Female,Hindu,,26-Apr-1950,,,7-Jan-2004,25-Apr-2012,No,No,Allahabad High Court,Yes,Jharkhand High Court,28-Oct-2010,,,,,No,,,,No,,Bar,No,Yes,No,No,Yes,No,Yes,No,No,No,No,,,B.Sc.,,,1972,,,No,No
Pradeep Kumar,Male,,,1-Jul-1952,,,21-Jan-2009,29-Nov-2011,Yes,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,No,No,No,No,No,No,No,No,"Zila School, Ranchi","St. Xavier’s College, Ranchi",B.Sc.,"Chotanagpur Law College, Ranchi",,1974,Bihar State Bar Council,No,No,No
Dilip Kumar Sunha,Male,Hindu,,1-Aug-1949,,,27-Feb-2006,31-Jul-2011,No,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,No,No,No,No,No,No,No,"Rajgir, Bihar and Bettiah",,B.Sc.,Patna Law College,,1976,Bihar State Bar Council,No,No,No
Jeewan Chandra Singh Rawat,Male,Hindu,,24-May-1949,Uttarakhand,Nainital,29-Jun-2004,23-May-2011,No,No,Uttarakhand High Court,Yes,Jharkhand High Court,1-Oct-2009,,,,,No,,,,No,,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,"Higher Secondary School, Mukteshwar, Nainital, and GIC Nainital ",DSB Govt. College ,B.A.,Lucknow University,,,,No,No,No
Dabbiru Ganeshrao Patnaik,Male,,,29-Sep-1948,,,27-Feb-2006,29-Sep-2010,No,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,No,No,No,No,No,No,No,No,Jamshedpur,,,Patna Law College,,1973,Bihar State Bar Council,No,Yes,No
Deoki Nandan Prasad,Male,,,1-Aug-1941,,,1-Dec-1998,,,,Patna High Court,Yes,Jharkhand High Court,15-Nov-2000,,,,,,,,,,,Service,Yes,,,,,,,,,,,,,,,,,,,Yes,No
Amareshwar Sahay,Male,,,10-Oct-1948,,,18-Nov-2002,10-Oct-2010,No,No,Jharkhand High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,"Zila School, Ranchi",Ranchi College,B.Sc.,"Chhotanagpur Law College, Ranchi",,1970,,No,No,No
Dhananjay Prasad Singh,Male,,,6-Sep-1946,,,27-Feb-2006,5-Sep-2008,,,Jharkhand High Court,No,,,,,,,No,,,,No,,,,,,Yes,,,,,,,,,,B.Sc.,,,,,,Yes,No
Hari Shankar Prasad,Male,,,1-Jul-1943,,,1-Jan-2002,,,,Jharkhand High Court,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,,B.A. (Hons.),,,,,No,No,No
Lakshman Uraon,Male,,ST,12-Aug-1942,Jharkhand,"village Latha Toli, District of Gumla",28-Jan-2002,11-Aug-2004,No,No,Jharkhand High Court,No,,,,,,,No,,,,,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,"Upper Primary School Saso and Lutharan High School, Gumla","St.Xavier's College, Ranchi",,"Chotanagpur Law College, Ranchi ",1965,,,No,No,No
Vikramaditya Prasad,Male,,,6-Oct-1942,,,28-Jan-2002,,No,,Jharkhand High Court,,,,,,,,,,,,No,,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,"Rajendra Shree Krishna Vidyalaya, Haveli Kharagpur, Munger","St.Columba's College, Hazaribagh",B.Sc.,Patna University ,,,,No,No,No
Gurusharan Sharma,Male,,,15-Jan-1942,Bihar,Pandarak,19-Oct-1992,15-Jan-2004,No,No,Patna High Court,Yes,Jharkhand High Court,15-Nov-2000,,,,,No,,,,No,,Bar,No,Yes,No,No,No,No,No,No,No,No,No,"Punyark Vidya Mandir, Pandarak",Patna University,Master's in Political Science,,1965,1966,Bihar State Bar Council,No,Yes,
Ashok Kumar Prasad,Male,,,10-Apr-1939,,,16-Oct-1997,10-Apr-2001,,,Patna High Court,Yes,Jharkhand High Court,15-Nov-2000,,,,,No,,,,No,,Service,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,1962,,,Yes,No
Ravi Nath Verma,Male,Hindu,,10-Dec-1956,,,26-Sep-2014,,,,Jharkhand High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,No,No,No,No,No,No,No,,,B.A. (Hons.) Economics,,,1983,,,No,No
