Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Dinesh Maheshwari,Male,,,15-May-1958,Rajasthan,Udaipur,2-Sep-2004,17-Jan-2019,No,No,Rajasthan,Yes,Allahabad,18-Jul-2014,,,,,Yes,Meghalaya,Karnataka,,Yes,18-Jan-2019,Bar,No,Yes,No,NA,Yes,,Yes,Yes,Yes,,,,"Maharaja's College, University of Rajasthan, Jaipur",B.Sc. (Hons.) Physics,Jodhpur University,1980,1981,Rajasthan,No,No,No
Jitendra Rai Goyal,Male,Hindu,General,4-Apr-1948,,,2-Feb-2005,4-Apr-2010,No,No,Rajasthan,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,No,No,No,No,No,No,No,,,B.A.,,,1971,Rajasthan,No,No,No
Manak Lal Mohta,Male,,,1-Jul-1947,,,2-Feb-2005,1-Jul-2009,No,No,Rajasthan,No,,,,,,,No,,,,No,,Service,Yes,,,Yes,,,,,,,No,,,B.Com. ,,,1971,Rajasthan,No,No,No
Suresh Chandra Singhal,Male,Hindu,General,,,,2-Feb-2005,8-Mar-2005,Yes,No,Rajasthan,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Satyaprakash Pathak,Male,,,15-Dec-1948,,,2-Feb-2005,15-Dec-2010,No,No,Rajasthan,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,,No,,,,,,,,B.A.,,,1973,Rajasthan,No,No,No
Prem Shankar Asopa,Male,,,30-Sep-1951,,,13-Jun-2005,29-Sep-2013,No,No,Rajasthan,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,Yes,,Yes,,,,,,,,1974,Rajasthan,No,No,No
Chatra Ram Jat,Male,,,,,,20-Jan-2006,1-Sep-2008,No,No,Rajasthan,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Gauri Shanker Sarraf,Male,,,1-Jul-1948,,,20-Jan-2006,1-Jul-2010,No,No,Rajasthan,No,,,,,,,No,,,,No,,Service,Yes,,No,Yes,,,,,,,,,,B.A.,,,,,,No,Yes
Guman Singh,Male,,,6-Feb-1948,,,12-Mar-2007,6-Feb-2010,No,No,Rajasthan,No,,,,,,,No,,,,No,,Service,Yes,,No,Yes,,,,,,,,,,B. A. (Hons),,,,,No,No,No
Bhanwaru Khan Parian,Male,,,1-Jul-1947,,,12-Mar-2007,1-Jul-2009,No,No,Rajasthan,No,,,,,,,No,,,,No,,Service,Yes,,No,Yes,,,,,,,,,,B.Sc.,,,,,No,No,No
Deo Narayan Thanvi,Male,,,3-Jun-1948,,,12-Mar-2007,3-Jun-2010,No,No,Rajasthan,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,,,,,,,,,,B.A.,,,1971,Rajasthan,No,No,No
