Name,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
M. L. Mehta,Male,Hindu,General,30-Dec-1951,,,3-Dec-2010,29-Dec-2013,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,,Punjab University,B. Sc.,Delhi University,,,,No,Yes,Yes
D. Murugesan,Male,Hindu,General,10-Jun-1951,,,2-Mar-2000,10-Jun-2013,No,No,Madras High Court ,No,,,,,,,Yes,Delhi High Court ,,,No,,Bar,No,Yes,No,No,Yes,No,No,No,Yes,No,No,,,,,,1975,,No,No,No
Sanjay Kishan Kaul,Male,Hindu,General,26-Dec-1958,,,3-May-2001,25-Dec-2023,No,No,Delhi High Court ,No,,,,,,,Yes,Punjab and Haryana High Court,Madras High Court ,,Yes,17-Feb-2017,Bar,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,"Modern School, New Delhi","St. Stephens College, Delhi University",Economics (Hons.),Delhi University,1982,1982,Bar Council of Delhi,No,No,No
Arjan Kumar Sikri,Male,Hindu,General,7-Mar-1954,,,7-Jul-1999,6-Mar-2019,No,No,Delhi High Court ,No,,,,,,,Yes,Punjab and Haryana High Court,,,Yes,12-Apr-2014,Bar,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,,Shri Ram College of Commerce,B . Com. (Hons.),Delhi University,1977,1977,Bar Council of Delhi,No,No,Yes
Anil Kumar,Male,Hindu,General,12-Jul-1950,,,16-Jul-2004,11-Jul-2012,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,,,,Delhi University,,1974,Bar Council of Delhi,No,Yes,No
Ajit Bharihoke,Male,Hindu,General,,,,14-May-2009,16-Oct-2011,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,,,,,,,,,,,,,,,,,
Dipak Misra,Male,Hindu,General,3-Oct-1953,,,17-Jan-1996,2-Oct-2018,No,No,Orissa High Court ,Yes,Madhya Pradesh High Court ,3-Mar-1997,,,,,Yes,Patna High Court ,Delhi High Court,,Yes,10-Oct-2011,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,,,,,,,,No,No,No
Vikramjit Sen,Male,Hindu,General,31-Dec-1950,,,7-Jul-1999,30-Dec-2015,No,No,Delhi High Court ,Yes,Karnataka High Court,12-Sep-2011,,,,,Yes,Karnataka High Court ,,,Yes,24-Dec-2012,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,"St. Xavier's School, Delhi",St. Stephen's College ,History (Hons.),Delhi University ,,,,No,No,No
Rekha Sharma,Female,Hindu,General,31-Jul-1949,,,23-Feb-2005,30-Jul-2011,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,,"Miranda House, Delhi University ",,Delhi University ,,1972,Bar Council of Delhi,No,No,No
Mool Chand Garg,Male,Hindu,General,10-Jun-1954,,,11-Apr-2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
