Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Justice Basu Deo Agarwal,Male,Hindu,General,17-Jun-1952,"Chaparmukh, District Nagaon",Assam,12-Oct-2006,16-Jun-2014,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,Yes,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,,,-,No,No,No
 Justice Brojendra Prasad Katakey,Male,Hindu,,28-Jun-1952,-,-,1-Nov-2004,27-Jun-2014,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,NA,Yes,No,No,Yes,Yes,No,No,NA,"Darrang College, Tezpur",B.Sc.,"University Law College, under Gauhati University",,1977,-,No,No,No
Justice K. Sreedhar Rao,Male,Hindu,General,21-Oct-1953,-,-,21-Feb-2000,20-Oct-2015,No,No,Karnataka,Yes,Gauhati High Court,24-Oct-2013,-,,-,,No,-,-,-,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,NA,NA,NA,NA,,1976,-,No,No,No
Justice Prasanta Kumar Saikia,Male,Hindu,General,26-Jan-1954,-,-,17-Oct-2011,25-Jan-2016,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Nagaon College,B.Sc.,Nagaon Law College under Gauhati University,1978,1979,Nagaon Bar Association,No,No,No
Justice Biplab Kumar Sarma,Male,Hindu,General,1-Feb-1954,Guwahati,Assam,2-Dec-2003,31-Jan-2016,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,NA,Yes,No,Yes,No,Yes,Yes,No,NA,Gauhati University,B.Sc.,Gauhati University,,1977,-,No,Yes,Yes
Justice Chittaranjan Sarma,Male,Hindu,General,1-Mar-1954,-,-,28-Dec-2008,29-Feb-2016,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science,University of Law College under the Gauhati University,,1977,-,No,No,No
Justice Tinlianthang Vaiphei,Male,,,1-Mar-1956,-,-,17-Jul-2003,28-Feb-2018,No,No,Gauhati,Yes,Tripura,16-May-2016,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,NA,Yes,No,No,Yes,Yes,No,No,NA,"Nowrosjee Wadia College, University of Poona.",B.A.,"Campus Law Centre, University of Delhi ",1979,1980,Assam,No,No,No
 Justice Indira Shah,Female,Hindu,General,17-Aug-1954,-,-,2-Mar-2012,16-Aug-2016,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"University Law College, Dibrugarh",,1978,-,No,Yes,No
Justice Nishitendu Chaudhury,Male,Hindu,General,1-Feb-1961,-,-,22-May-2013,12-Nov-2016,Yes,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,Yes,Karimganj Government HS School,"G.C. College, Silchar",B.Sc. with Honours in Zoology ,A.K. Chanda Law College ,1987,,-,No,No,Yes
Justice Paran Kumar Phukan,Male,Hindu,General,29-Oct-1955,Jorhat,Assam,7-Jan-2015,28-Oct-2017,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,NA,".B. College, Jorhat",Science with honours in Chemistry,NA,,1983,Tezpur Bar Association,No,No,No
Justice Lanusungkum Jamir,Male,,,1-Mar-1964,"Impuh, Makokchung District",Nagaland,22-May-2013,,No,No,Gauhati,Yes,Manipur,9-Oct-2018,-,,-,,No,-,-,-,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,NA,History(Hons),North Eastern Hill University,1988,1989,"Assam, Nagaland, Meghalaya, Manipur and Tripura",No,No,No
