Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Arunkumar Kantilal Trivedi,Male,Hindu,,4-Sep-1939,NA,NA,11-Dec-1997,4-Sep-2001,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,NA,NA,NA,NA,,1965,Gujarat,No,No,No
Magraj Khalla,Male,Hindu,,12-Mar-1941,NA,NA,20-Jul-1990,12-Mar-2003,No,No,Rajasthan High Court,Yes,Gujarat High Court,27-Apr-1994,Rajasthan High Court,10-Sep-2001,,,No,,,,No,,Bar,No,Yes,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,,1968,Rajasthan,No,No,No
Pradip Kumar Sarkar,Male,Hindu,,16-Jul-1940,NA,NA,26-Feb-1996,15-Jul-2003,No,No,Gauhati High Court,Yes,Gujarat High Court,20-Dec-1999,Gauhati High Court,11-Sep-2001,,,No,,,,No,,Service,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,,1966,Tripura and Manipur,No,No,No
Babulal Chandulal Patel,Male,Hindu,,7-Aug-1943,Gujarat,Ahmedabad,21-Jul-1990,6-Aug-2005,No,No,Gujarat High Court,No,,,,,,,Yes,Jammu & Kashmir High Court,Delhi High Court,,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,Yes,NA,NA,BA,Gujarat University,1967,1968,Gujarat,No,Yes,No
Yogin Balvant Bhatt,Male,Hindu,General,29-Dec-1940,NA,NA,22-Nov-1990,29-Dec-2002,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,Poona University,BSc,NA,1963,1964,Gujarat,No,No,No
Daya Saran Sinha,Male,Hindu,,18-Mar-1941,NA,NA,17-Mar-2002,18-Mar-2003,No,No,Allahabad High Court,No,,,,,,,Yes,Gujarat High Court,,,No,,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,No,No,NA,University of Allahabad,BA,University of Allahabad,1959,1962,Uttar Pradesh,No,No,No
Harivada Hiralal Mehta,Male,Hindu,,13-Oct-1941,NA,NA,27-Dec-1999,13-Oct-2003,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,No,NA,NA,BSc,City Law College,1964,1965,Gujarat,No,No,No
Kundan Singh,Male,Hindu,,15-Dec-1941,NA,NA,27-Nov-1991,15-Dec-2003,No,No,Allahabad High Court,Yes,Gujarat High Court,15-Dec-1997,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,NA,NA,NA,,1964,Uttar Pradesh,No,No,No
Mustak Hafizuddin Kadri,Male,Muslim,,10-Jun-1942,NA,NA,18-Sep-1995,10-Jun-2004,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,No,NA,Gujarat University,BA,Gujarat University,1968,,Gujarat,No,No,No
Dineshchandra Pravinrai Buch,Male,Hindu,,22-Aug-1942,NA,NA,17-Sep-1999,22-Aug-2004,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,NA,"Bahauddin College, Junagadh",BSc,"A.M.P. Law College, Rajkot",1965,1966,Gujarat,No,No,No
Ramesh Kundanlal Abichandani,Male,Hindu,,10-Dec-1942,NA,NA,18-Jul-1990,10-Dec-2004,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,Yes,Yes,No,No,No,No,No,No,NA,Gujarat University,BA,Gujarat University,1961,1963,Gujarat,No,No,Yes
J. N. Bhatt,Male,Hindu,General,16-Oct-1945,Gujarat,Jamnagar,21-Jul-1990,16-Oct-2007,No,No,Gujarat High Court,No,,,,,,,Yes,Patna High Court,,,No,,Service,Yes,Yes,NA,Yes,Yes,No,No,No,No,No,No,NA,NA,NA,NA,,1968,Gujarat,No,Yes,Yes
