Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Engalaguppe Seetharamiah Indiresh,Male,,,16-Apr-1972,,,7-Jan-2020,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Venkappa Hosmani,Male,,,29-Jul-1971,,,7-Jan-2020,,,,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,,,,,,,,,,,,,1995,Karnataka,,,
Savanur Vishwajith Shetty,Male,,,19-May-1967,,,28-Apr-2020,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shivashankar Amarannavar,Male,,,20-Jul-1970,,,4-May-2020,,,,Karnataka High Court,,,,,,,,,,,,,,Service,Yes,Yes,,Yes,,,,,,,Yes,,,B. Com. ,,,1994,Karnataka,,,Yes
Makkimane Ganeshaiah Uma,Female,,,10-Mar-1964,,,4-May-2020,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vedavyasachar Srishananda,Male,,,29-Mar-1966,,,4-May-2020,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanchate Sanjeevkumar,Male,,,13-May-1971,,,4-May-2020,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padmaraj Nemachandra Desai,Male,,,21-May-1961,,,4-May-2020,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Krishna Bhat,Male,,,8-Aug-1960,,,21-May-2020,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.G. Shukure Kamal,Male,,,30-Jun-1971,Karnataka,"Kodlipet, Kodagu District",17-Mar-2021,,,,Karnataka High Court,,,,,,,,,,,,,,Bar,,Yes,,,,,,,,,,"Govt. Senior College, Madikare","Vidyavardhaka Law College, Mysuru",B.A. LLB. ,,,1994,Karnataka,,,
Rajendra Badamikar,Male,,,1-Jun-1962,,,25-Mar-2021,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khazi Jaibunnisa Mohiuddin,Female,Muslim,,8-Oct-1963,,,25-Mar-2021,,,,Karnataka High Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Eswara Prasad,Male,,,4-Aug-1934,Tamil Nadu,Madras,28-Apr-1994,1-Aug-1996,No,No,Andhra Pradesh High Court,Yes,Karnataka High Court,28-Apr-1994,,,,,No,,,,,,,,,,,,No,,,,,,,Madras University,,Osmania University,,1959,,,,
S. Venkataraman,Male,,,10-May-1935,,,22-Feb-1993,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,,,,,,,Central College,,"Government Law College, Bangalore",,1955,,,,
R.G. Vaidhyanatha,Male,,,9-Jul-1935,,,25-Feb-1994,9-Jul-1997,No,No,,Yes,Bombay High Court,17-Mar-1994,,,,,,,,,,,Service,Yes,,,Yes,,,,,,,,,,B. Sc.,,,,,,,
P. Krishnamurthy,Male,,,28-Jun-1935,,,,,No,No,Kerala High Court,Yes,Karnataka High Court,28-Apr-1994,,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,,1960,Kerala,,,
K.S. Bhaktavatsalam,Male,,,22-Oct-1935,,,,,,,Madras High Court,Yes,Karnataka High Court,11-May-1994,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,
B.K. Somashekhar,Male,,,27-Jan-1936,,,25-Feb-1994,,,,Karnataka High Court,Yes,Andhra Pradesh High Court,21-Mar-1994,,,,,,,,,,,Service,Yes,,,,,,,,,,,,,,,,1959,,,,
M.B. Vishwanath,Male,,,31-Oct-1936,,,30-Nov-1994,,No,No,Karnataka High Court,,,,,,,,,,,,,,Service,Yes,,,Yes,,,,,,,,,,,,,1961,Karnataka,,,
C.N. Ashwathnarayana Rao,Male,,,26-Nov-1936,,,30-Nov-1994,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,"Maharaja's College, 
Mysore",,"Government Law College, Bangalore",,1957,,,,
